Step,NestId,Inactive,Assessing,Recruiting,Reversing
48,1,0,3,0,0
48,2,0,7,0,0
49,0,107,0,0,0
49,1,0,4,0,0
49,2,0,7,0,0
50,0,107,0,0,0
50,1,0,4,0,0
50,2,0,7,0,0
51,0,107,0,0,0
51,1,0,5,0,0
51,2,0,7,0,0
52,0,107,0,0,0
52,1,0,5,0,0
52,2,0,7,0,0
53,0,107,0,0,0
53,1,0,6,0,0
53,2,0,8,0,0
54,0,107,0,0,0
54,1,0,7,0,0
54,2,0,8,0,0
55,0,107,0,0,0
55,1,0,7,0,0
55,2,0,8,0,0
56,0,107,0,0,0
56,1,0,9,0,0
56,2,0,9,0,0
57,0,107,0,0,0
57,1,0,9,0,0
57,2,0,9,0,0
58,0,107,0,0,0
58,1,0,9,0,0
58,2,0,9,0,0
59,0,107,0,0,0
59,1,0,9,0,0
59,2,0,9,0,0
60,0,107,0,0,0
60,1,0,9,0,0
60,2,0,9,0,0
61,0,107,0,0,0
61,1,0,9,0,0
61,2,0,9,0,0
62,0,107,0,0,0
62,1,0,9,0,0
62,2,0,9,0,0
63,0,107,0,0,0
63,1,0,9,0,0
63,2,0,11,0,0
64,0,107,0,0,0
64,1,0,9,0,0
64,2,0,11,0,0
65,0,107,0,0,0
65,1,0,9,0,0
65,2,0,12,0,0
66,0,107,0,0,0
66,1,0,9,0,0
66,2,0,12,0,0
67,0,107,0,0,0
67,1,0,9,0,0
67,2,0,12,0,0
68,0,107,0,0,0
68,1,0,9,0,0
68,2,0,12,0,0
69,0,107,0,0,0
69,1,0,9,0,0
69,2,0,13,0,0
70,0,107,0,0,0
70,1,0,9,0,0
70,2,0,13,0,0
71,0,107,0,0,0
71,1,0,10,0,0
71,2,0,13,0,0
72,0,107,0,0,0
72,1,0,11,0,0
72,2,0,13,0,0
73,0,107,0,0,0
73,1,0,11,0,0
73,2,0,13,0,0
74,0,107,0,0,0
74,1,0,11,0,0
74,2,0,13,0,0
75,0,107,0,0,0
75,1,0,11,0,0
75,2,0,14,0,0
76,0,107,0,0,0
76,1,0,12,0,0
76,2,0,14,0,0
77,0,107,0,0,0
77,1,0,12,0,0
77,2,0,14,0,0
78,0,107,0,0,0
78,1,0,12,0,0
78,2,0,14,0,0
79,0,107,0,0,0
79,1,0,13,0,0
79,2,0,14,0,0
80,0,107,0,0,0
80,1,0,13,0,0
80,2,0,14,0,0
81,0,107,0,0,0
81,1,0,13,0,0
81,2,0,14,0,0
82,0,107,0,0,0
82,1,0,14,0,0
82,2,0,14,0,0
83,0,107,0,0,0
83,1,0,14,0,0
83,2,0,14,0,0
84,0,107,0,0,0
84,1,0,14,0,0
84,2,0,14,0,0
85,0,107,0,0,0
85,1,0,14,0,0
85,2,0,14,0,0
86,0,107,0,0,0
86,1,0,14,0,0
86,2,0,14,0,0
87,0,107,0,0,0
87,1,0,14,0,0
87,2,0,14,0,0
88,0,107,0,0,0
88,1,0,14,0,0
88,2,0,14,0,0
89,0,107,0,0,0
89,1,0,14,0,0
89,2,0,14,0,0
90,0,107,0,0,0
90,1,0,14,0,0
90,2,0,14,0,0
91,0,107,0,0,0
91,1,0,14,0,0
91,2,0,14,0,0
92,0,107,0,0,0
92,1,0,15,0,0
92,2,0,14,0,0
93,0,107,0,0,0
93,1,0,15,0,0
93,2,0,14,0,0
94,0,107,0,0,0
94,1,0,16,0,0
94,2,0,14,0,0
95,0,107,0,0,0
95,1,0,16,0,0
95,2,0,15,0,0
96,0,107,0,0,0
96,1,0,17,0,0
96,2,0,15,0,0
97,0,107,0,0,0
97,1,0,17,0,0
97,2,0,15,0,0
98,0,107,0,0,0
98,1,0,18,0,0
98,2,0,15,0,0
99,0,107,0,0,0
99,1,0,18,0,0
99,2,0,15,0,0
100,0,107,0,0,0
100,1,0,18,0,0
100,2,0,15,0,0
101,0,107,0,0,0
101,1,0,18,0,0
101,2,0,15,0,0
102,0,107,0,0,0
102,1,0,20,0,0
102,2,0,15,0,0
103,0,107,0,0,0
103,1,0,20,0,0
103,2,0,15,0,0
104,0,107,0,0,0
104,1,0,20,0,0
104,2,0,15,0,0
105,0,107,0,0,0
105,1,0,20,0,0
105,2,0,15,0,0
106,0,107,0,0,0
106,1,0,22,0,0
106,2,0,16,0,0
107,0,107,0,0,0
107,1,0,22,0,0
107,2,0,16,0,0
108,0,107,0,0,0
108,1,0,23,0,0
108,2,0,16,0,0
109,0,107,0,0,0
109,1,0,23,0,0
109,2,0,16,0,0
110,0,107,0,0,0
110,1,0,24,0,0
110,2,0,16,0,0
111,0,107,0,0,0
111,1,0,25,0,0
111,2,0,16,0,0
112,0,107,0,0,0
112,1,0,26,0,0
112,2,0,17,0,0
113,0,107,0,0,0
113,1,0,27,0,0
113,2,0,17,0,0
114,0,107,0,0,0
114,1,0,27,0,0
114,2,0,16,1,0
115,0,107,0,0,0
115,1,0,27,0,0
115,2,0,16,1,0
116,0,107,0,0,0
116,1,0,28,0,0
116,2,0,16,1,0
117,0,107,0,0,0
117,1,0,28,0,0
117,2,0,16,1,0
118,0,107,0,0,0
118,1,0,29,0,0
118,2,0,16,1,0
119,0,107,0,0,0
119,1,0,29,0,0
119,2,0,17,1,0
120,0,107,0,0,0
120,1,0,30,0,0
120,2,0,17,1,0
121,0,107,0,0,0
121,1,0,30,0,0
121,2,0,17,1,0
122,0,107,0,0,0
122,1,0,30,0,0
122,2,1,17,0,1
123,0,107,0,0,0
123,1,0,30,0,0
123,2,1,17,0,1
124,0,107,0,0,0
124,1,0,30,0,0
124,2,1,18,0,1
125,0,107,0,0,0
125,1,0,31,0,0
125,2,1,19,1,0
126,0,107,0,0,0
126,1,0,31,0,0
126,2,1,18,2,0
127,0,107,0,0,0
127,1,0,31,0,0
127,2,1,18,2,0
128,0,107,0,0,0
128,1,0,31,0,0
128,2,1,18,2,0
129,0,107,0,0,0
129,1,0,31,0,0
129,2,1,17,3,0
130,0,107,0,0,0
130,1,0,31,0,0
130,2,1,17,3,0
131,0,107,0,0,0
131,1,0,31,0,0
131,2,1,17,3,0
132,0,107,0,0,0
132,1,0,31,0,0
132,2,1,18,3,0
133,0,107,0,0,0
133,1,0,31,0,0
133,2,1,18,3,0
134,0,107,0,0,0
134,1,0,31,0,0
134,2,1,18,3,0
135,0,107,0,0,0
135,1,0,30,1,0
135,2,1,18,3,0
136,0,107,0,0,0
136,1,0,30,1,0
136,2,1,19,3,0
137,0,106,0,0,0
137,1,0,30,1,0
137,2,1,19,3,0
138,0,106,0,0,0
138,1,0,30,1,0
138,2,1,19,3,0
139,0,106,0,0,0
139,1,0,30,1,0
139,2,2,19,2,1
140,0,106,0,0,0
140,1,0,30,1,0
140,2,2,18,3,1
141,0,106,0,0,0
141,1,0,30,1,0
141,2,2,18,3,1
142,0,106,0,0,0
142,1,0,30,1,0
142,2,3,18,2,2
143,0,106,0,0,0
143,1,0,30,1,0
143,2,3,18,2,2
144,0,106,0,0,0
144,1,0,30,1,0
144,2,3,18,2,2
145,0,106,0,0,0
145,1,0,30,1,0
145,2,3,18,3,1
146,0,106,0,0,0
146,1,0,30,1,0
146,2,3,18,3,1
147,0,106,0,0,0
147,1,0,30,1,0
147,2,3,19,3,1
148,0,106,0,0,0
148,1,0,29,1,0
148,2,3,19,3,1
149,0,106,0,0,0
149,1,0,28,1,0
149,2,2,19,3,1
150,0,106,0,0,0
150,1,0,28,1,0
150,2,2,19,3,1
151,0,106,0,0,0
151,1,0,28,1,0
151,2,2,19,3,1
152,0,106,0,0,0
152,1,0,28,1,0
152,2,2,19,3,1
153,0,106,0,0,0
153,1,0,28,1,0
153,2,2,18,3,1
154,0,106,0,0,0
154,1,0,28,0,1
154,2,2,18,3,1
155,0,106,0,0,0
155,1,0,29,0,1
155,2,2,19,3,1
156,0,106,0,0,0
156,1,0,29,1,0
156,2,2,19,3,1
157,0,106,0,0,0
157,1,0,29,1,0
157,2,2,19,3,1
158,0,106,0,0,0
158,1,0,29,1,0
158,2,3,19,2,2
159,0,106,0,0,0
159,1,0,29,1,0
159,2,3,19,2,2
160,0,106,0,0,0
160,1,0,29,0,1
160,2,3,19,3,1
161,0,106,0,0,0
161,1,0,28,0,1
161,2,3,18,3,1
162,0,106,0,0,0
162,1,0,28,1,0
162,2,3,18,3,1
163,0,106,0,0,0
163,1,0,28,1,0
163,2,3,18,3,1
164,0,106,0,0,0
164,1,0,28,1,0
164,2,3,18,3,1
165,0,106,0,0,0
165,1,0,28,1,0
165,2,4,18,2,2
166,0,106,0,0,0
166,1,0,28,1,0
166,2,4,18,2,2
167,0,106,0,0,0
167,1,0,28,0,1
167,2,4,18,2,2
168,0,106,0,0,0
168,1,0,28,0,1
168,2,4,18,2,2
169,0,106,0,0,0
169,1,0,28,1,0
169,2,4,18,2,2
170,0,106,0,0,0
170,1,0,28,1,0
170,2,5,18,1,3
171,0,106,0,0,0
171,1,0,28,1,0
171,2,5,18,1,3
172,0,106,0,0,0
172,1,0,28,1,0
172,2,5,18,1,3
173,0,106,0,0,0
173,1,0,28,1,0
173,2,5,18,1,3
174,0,106,0,0,0
174,1,0,28,1,0
174,2,5,18,1,3
175,0,106,0,0,0
175,1,0,30,1,0
175,2,5,18,1,3
176,0,106,0,0,0
176,1,0,30,1,0
176,2,6,18,0,4
177,0,106,0,0,0
177,1,0,28,1,0
177,2,6,18,0,4
178,0,106,0,0,0
178,1,0,28,1,0
178,2,6,17,1,4
179,0,106,0,0,0
179,1,0,28,1,0
179,2,6,17,1,4
180,0,106,0,0,0
180,1,0,28,1,0
180,2,6,17,1,4
181,0,106,0,0,0
181,1,0,28,1,0
181,2,6,16,2,4
182,0,106,0,0,0
182,1,0,27,1,0
182,2,6,17,2,4
183,0,106,0,0,0
183,1,0,27,1,0
183,2,6,17,2,4
184,0,106,0,0,0
184,1,0,27,1,0
184,2,6,17,2,4
185,0,106,0,0,0
185,1,0,26,1,0
185,2,6,17,2,4
186,0,106,0,0,0
186,1,0,26,1,0
186,2,6,16,3,4
187,0,106,0,0,0
187,1,0,26,1,0
187,2,6,17,3,4
188,0,106,0,0,0
188,1,0,26,1,0
188,2,6,16,4,4
189,0,106,0,0,0
189,1,0,26,1,0
189,2,6,17,4,4
190,0,106,0,0,0
190,1,0,27,1,0
190,2,6,18,4,4
191,0,106,0,0,0
191,1,0,27,0,1
191,2,6,18,4,4
192,0,106,0,0,0
192,1,0,27,0,1
192,2,6,18,4,4
193,0,106,0,0,0
193,1,0,27,0,1
193,2,6,17,5,4
194,0,106,0,0,0
194,1,0,26,1,1
194,2,6,17,4,5
195,0,106,0,0,0
195,1,0,25,0,2
195,2,6,17,4,5
196,0,106,0,0,0
196,1,0,24,2,0
196,2,6,17,4,5
197,0,106,0,0,0
197,1,0,24,2,0
197,2,6,17,4,5
198,0,106,0,0,0
198,1,0,24,2,0
198,2,6,17,4,5
199,0,106,0,0,0
199,1,0,24,2,0
199,2,6,18,4,5
200,0,106,0,0,0
200,1,0,24,2,0
200,2,7,18,3,6
201,0,106,0,0,0
201,1,0,24,2,0
201,2,7,17,4,6
202,0,106,0,0,0
202,1,0,24,2,0
202,2,7,17,5,5
203,0,106,0,0,0
203,1,0,25,2,0
203,2,7,17,5,5
204,0,106,0,0,0
204,1,0,23,3,0
204,2,7,17,5,5
205,0,106,0,0,0
205,1,0,23,3,0
205,2,7,17,5,5
206,0,106,0,0,0
206,1,0,22,3,0
206,2,7,17,5,5
207,0,105,0,0,0
207,1,0,22,3,0
207,2,7,17,5,5
208,0,105,0,0,0
208,1,0,22,3,0
208,2,7,17,5,5
209,0,105,0,0,0
209,1,0,21,3,0
209,2,8,17,4,6
210,0,105,0,0,0
210,1,0,21,3,0
210,2,8,17,4,6
211,0,104,0,0,0
211,1,0,21,3,0
211,2,9,17,4,6
212,0,104,0,0,0
212,1,0,21,3,0
212,2,9,17,4,6
213,0,104,0,0,0
213,1,0,21,3,0
213,2,9,15,6,6
214,0,103,0,0,0
214,1,0,22,3,0
214,2,9,14,7,6
215,0,103,0,0,0
215,1,0,22,3,0
215,2,9,13,8,6
216,0,103,0,0,0
216,1,0,22,3,0
216,2,10,13,7,7
217,0,103,0,0,0
217,1,0,22,3,0
217,2,10,13,7,7
218,0,103,0,0,0
218,1,0,21,3,0
218,2,10,13,7,7
219,0,103,0,0,0
219,1,0,21,2,1
219,2,10,13,7,7
220,0,103,0,0,0
220,1,0,21,2,1
220,2,11,13,6,8
221,0,103,0,0,0
221,1,0,21,3,0
221,2,11,13,6,8
222,0,103,0,0,0
222,1,0,21,3,0
222,2,11,13,6,8
223,0,103,0,0,0
223,1,0,21,3,0
223,2,11,13,5,9
224,0,103,0,0,0
224,1,0,20,3,0
224,2,11,13,5,9
225,0,103,0,0,0
225,1,0,20,3,0
225,2,11,13,6,8
226,0,102,0,0,0
226,1,1,20,2,1
226,2,12,13,5,9
227,0,102,0,0,0
227,1,2,19,1,2
227,2,12,13,5,9
228,0,102,0,0,0
228,1,2,20,1,2
228,2,13,13,4,10
229,0,102,0,0,0
229,1,2,20,3,0
229,2,13,13,4,10
230,0,102,0,0,0
230,1,3,17,3,1
230,2,13,13,4,10
231,0,102,0,0,0
231,1,3,17,3,1
231,2,13,13,4,10
232,0,102,0,0,0
232,1,4,17,3,1
232,2,13,13,4,10
233,0,102,0,0,0
233,1,4,17,3,1
233,2,13,13,4,10
234,0,102,0,0,0
234,1,4,17,3,1
234,2,13,12,5,10
235,0,101,0,0,0
235,1,4,17,3,1
235,2,13,12,5,10
236,0,101,0,0,0
236,1,4,16,3,2
236,2,13,12,5,10
237,0,101,0,0,0
237,1,4,15,3,2
237,2,14,12,4,11
238,0,101,0,0,0
238,1,4,15,3,2
238,2,14,12,4,11
239,0,101,0,0,0
239,1,4,14,3,2
239,2,14,12,4,11
240,0,101,0,0,0
240,1,4,14,3,2
240,2,14,12,4,11
241,0,101,0,0,0
241,1,4,14,3,2
241,2,15,10,5,12
242,0,101,0,0,0
242,1,4,14,3,2
242,2,15,10,5,12
243,0,101,0,0,0
243,1,4,13,3,2
243,2,15,10,5,12
244,0,101,0,0,0
244,1,4,13,3,2
244,2,15,9,6,12
245,0,101,0,0,0
245,1,4,13,3,2
245,2,15,9,6,12
246,0,101,0,0,0
246,1,4,12,3,2
246,2,15,9,6,12
247,0,101,0,0,0
247,1,4,12,3,2
247,2,15,9,6,12
248,0,100,0,0,0
248,1,4,12,3,2
248,2,15,9,6,12
249,0,100,0,0,0
249,1,4,12,3,2
249,2,15,9,6,12
250,0,100,0,0,0
250,1,4,12,3,2
250,2,15,8,7,12
251,0,100,1,0,0
251,1,3,12,3,2
251,2,15,8,7,12
252,0,100,2,0,0
252,1,3,12,3,2
252,2,15,8,7,12
253,0,100,2,0,0
253,1,3,12,3,2
253,2,14,8,9,11
254,0,98,2,0,0
254,1,3,12,3,2
254,2,16,8,7,13
255,0,98,2,0,0
255,1,3,12,3,2
255,2,16,8,7,13
256,0,98,2,0,0
256,1,3,11,3,2
256,2,17,8,8,12
257,0,97,2,0,0
257,1,3,11,3,2
257,2,18,7,8,13
258,0,97,2,0,0
258,1,3,12,2,3
258,2,18,7,9,12
259,0,97,2,0,0
259,1,3,12,1,4
259,2,18,7,9,12
260,0,97,2,0,0
260,1,3,12,2,3
260,2,18,7,9,12
261,0,97,2,0,0
261,1,3,12,2,3
261,2,18,7,9,12
262,0,97,2,0,0
262,1,4,12,1,4
262,2,18,7,9,12
263,0,97,3,0,0
263,1,4,12,1,4
263,2,18,7,9,12
264,0,97,3,0,0
264,1,4,12,1,4
264,2,19,7,8,13
265,0,97,3,0,0
265,1,4,12,3,2
265,2,19,8,8,13
266,0,97,3,0,0
266,1,4,13,3,2
266,2,19,8,8,13
267,0,97,3,0,0
267,1,4,13,3,2
267,2,19,8,8,13
268,0,97,3,0,0
268,1,4,13,3,2
268,2,19,8,8,13
269,0,96,3,0,0
269,1,5,13,2,3
269,2,19,8,8,13
270,0,96,3,0,0
270,1,5,12,2,3
270,2,21,7,7,15
271,0,96,3,0,0
271,1,5,12,3,2
271,2,21,7,7,15
272,0,95,3,0,0
272,1,5,13,3,2
272,2,21,7,7,15
273,0,94,3,0,0
273,1,5,12,3,2
273,2,22,7,6,16
274,0,94,3,0,0
274,1,5,12,3,2
274,2,23,7,5,17
275,0,94,3,0,0
275,1,5,12,3,2
275,2,24,7,4,18
276,0,94,3,0,0
276,1,5,13,3,2
276,2,24,7,4,18
277,0,94,4,0,0
277,1,5,13,2,2
277,2,24,7,5,17
278,0,94,4,0,0
278,1,5,13,3,2
278,2,24,8,6,16
279,0,94,4,0,0
279,1,4,14,3,2
279,2,24,8,6,16
280,0,93,4,0,0
280,1,4,14,3,2
280,2,24,8,6,16
281,0,93,4,0,0
281,1,4,14,3,2
281,2,24,9,6,16
282,0,93,4,0,0
282,1,4,14,3,2
282,2,24,9,6,16
283,0,92,4,0,0
283,1,4,14,3,2
283,2,24,9,6,16
284,0,92,4,0,0
284,1,4,14,2,3
284,2,24,9,6,16
285,0,92,4,0,0
285,1,4,14,2,3
285,2,24,9,6,16
286,0,92,4,0,0
286,1,4,14,3,2
286,2,24,8,7,16
287,0,92,4,0,0
287,1,4,14,3,2
287,2,26,8,5,18
288,0,92,4,0,0
288,1,4,14,3,2
288,2,26,8,5,18
289,0,92,4,0,0
289,1,4,13,3,2
289,2,26,7,7,17
290,0,92,4,0,0
290,1,4,13,3,2
290,2,27,7,6,18
291,0,92,4,0,0
291,1,4,13,3,2
291,2,27,7,6,18
292,0,92,4,0,0
292,1,4,13,3,2
292,2,28,7,5,19
293,0,92,4,0,0
293,1,4,12,3,2
293,2,28,7,4,20
294,0,92,4,0,0
294,1,4,12,3,2
294,2,28,7,4,20
295,0,92,4,0,0
295,1,4,12,3,2
295,2,28,7,6,18
296,0,91,4,0,0
296,1,4,12,3,2
296,2,28,7,6,18
297,0,90,4,0,0
297,1,5,12,2,3
297,2,28,7,6,18
298,0,90,4,0,0
298,1,5,12,2,3
298,2,28,7,6,18
299,0,89,4,0,0
299,1,5,12,3,2
299,2,28,7,6,18
300,0,89,4,0,0
300,1,5,12,3,2
300,2,28,7,6,18
301,0,89,4,0,0
301,1,5,12,3,2
301,2,28,7,6,18
302,0,89,4,0,0
302,1,5,12,3,2
302,2,29,7,5,19
303,0,89,4,0,0
303,1,5,12,3,2
303,2,29,7,5,19
304,0,89,4,0,0
304,1,5,12,3,2
304,2,29,7,5,19
305,0,89,4,0,0
305,1,5,12,3,2
305,2,29,7,5,19
306,0,89,4,0,0
306,1,5,12,3,2
306,2,30,7,4,20
307,0,89,4,0,0
307,1,5,12,3,2
307,2,30,7,4,20
308,0,89,4,0,0
308,1,5,12,3,2
308,2,30,7,5,19
309,0,89,4,0,0
309,1,5,12,3,2
309,2,30,7,5,19
310,0,89,4,0,0
310,1,5,12,3,2
310,2,30,7,5,19
311,0,89,4,0,0
311,1,6,12,2,3
311,2,30,7,6,19
312,0,87,4,0,0
312,1,5,12,2,3
312,2,30,7,6,19
313,0,87,4,0,0
313,1,5,13,3,2
313,2,30,7,6,19
314,0,87,4,0,0
314,1,6,13,2,3
314,2,30,7,6,19
315,0,87,4,0,0
315,1,6,13,2,3
315,2,30,6,7,19
316,0,87,4,0,0
316,1,6,13,3,2
316,2,30,6,7,19
317,0,87,4,0,0
317,1,6,13,3,2
317,2,30,6,7,19
318,0,87,4,0,0
318,1,6,13,3,2
318,2,30,6,7,19
319,0,87,4,0,0
319,1,6,13,3,2
319,2,30,6,7,19
320,0,87,4,0,0
320,1,6,12,3,2
320,2,31,6,6,20
321,0,87,4,0,0
321,1,6,12,3,2
321,2,32,6,5,21
322,0,87,4,0,0
322,1,6,12,3,2
322,2,32,6,6,20
323,0,87,3,0,0
323,1,6,12,4,2
323,2,32,6,7,19
324,0,86,3,0,0
324,1,6,12,4,2
324,2,31,6,9,18
325,0,83,3,0,0
325,1,6,12,4,2
325,2,31,6,9,18
326,0,83,3,0,0
326,1,6,12,4,2
326,2,32,6,8,19
327,0,83,3,0,0
327,1,6,12,4,2
327,2,33,6,7,20
328,0,83,3,0,0
328,1,6,12,4,2
328,2,33,6,7,20
329,0,82,3,0,0
329,1,6,11,4,2
329,2,33,6,8,19
330,0,82,3,0,0
330,1,6,11,4,2
330,2,34,6,7,20
331,0,82,3,0,0
331,1,6,11,4,2
331,2,35,6,6,21
332,0,82,3,0,0
332,1,6,11,4,2
332,2,35,6,7,20
333,0,82,4,0,0
333,1,6,11,4,2
333,2,35,5,9,19
334,0,82,4,0,0
334,1,6,10,5,2
334,2,34,6,11,18
335,0,82,4,0,0
335,1,6,10,5,2
335,2,34,6,10,19
336,0,80,4,0,0
336,1,6,10,5,2
336,2,34,6,10,19
337,0,80,5,0,0
337,1,6,10,5,2
337,2,34,6,9,19
338,0,80,5,0,0
338,1,6,10,5,2
338,2,34,6,9,19
339,0,80,5,0,0
339,1,6,10,5,2
339,2,34,6,9,19
340,0,80,5,0,0
340,1,6,10,5,2
340,2,35,6,8,20
341,0,80,6,0,0
341,1,7,10,4,3
341,2,35,5,9,20
342,0,80,6,0,0
342,1,7,10,4,3
342,2,35,5,9,20
343,0,80,6,0,0
343,1,7,10,5,2
343,2,35,5,10,19
344,0,78,5,0,0
344,1,8,10,4,3
344,2,35,5,10,19
345,0,78,5,0,0
345,1,8,10,4,3
345,2,35,5,10,19
346,0,78,5,0,0
346,1,8,10,4,3
346,2,35,5,10,19
347,0,78,5,0,0
347,1,8,10,5,2
347,2,35,5,10,19
348,0,78,5,0,0
348,1,9,10,4,3
348,2,36,5,9,20
349,0,78,5,0,0
349,1,9,10,4,3
349,2,36,5,9,20
350,0,78,6,0,0
350,1,10,10,3,4
350,2,36,5,9,20
351,0,78,6,0,0
351,1,10,10,3,4
351,2,36,5,9,20
352,0,78,6,0,0
352,1,10,10,5,2
352,2,36,5,9,20
353,0,77,6,0,0
353,1,10,10,5,2
353,2,37,5,8,21
354,0,77,6,0,0
354,1,10,10,5,2
354,2,37,5,8,21
355,0,77,6,0,0
355,1,10,10,5,2
355,2,37,5,8,21
356,0,76,6,0,0
356,1,10,10,5,2
356,2,37,5,8,21
357,0,76,6,0,0
357,1,10,10,5,2
357,2,37,5,8,21
358,0,76,6,0,0
358,1,10,10,5,2
358,2,37,5,8,21
359,0,76,6,0,0
359,1,10,10,5,2
359,2,37,5,8,21
360,0,76,6,0,0
360,1,10,10,5,2
360,2,38,5,7,22
361,0,76,6,0,0
361,1,10,10,5,2
361,2,39,5,6,23
362,0,75,6,0,0
362,1,10,10,5,2
362,2,39,5,7,22
363,0,75,6,0,0
363,1,10,9,5,2
363,2,39,5,7,22
364,0,75,6,0,0
364,1,10,8,5,2
364,2,39,5,8,21
365,0,75,6,0,0
365,1,10,8,5,2
365,2,39,5,8,21
366,0,75,6,0,0
366,1,10,8,5,2
366,2,39,5,8,21
367,0,74,5,0,0
367,1,10,8,5,2
367,2,39,5,8,21
368,0,74,5,0,0
368,1,11,8,4,3
368,2,40,5,7,22
369,0,74,5,0,0
369,1,11,8,4,3
369,2,40,5,7,22
370,0,74,4,0,0
370,1,11,8,5,2
370,2,40,5,7,22
371,0,74,4,0,0
371,1,11,8,5,2
371,2,40,5,7,22
372,0,74,4,0,0
372,1,11,8,5,2
372,2,40,5,7,22
373,0,74,4,0,0
373,1,11,7,5,2
373,2,40,5,7,22
374,0,73,4,0,0
374,1,11,7,5,2
374,2,40,5,7,22
375,0,73,5,0,0
375,1,11,5,4,2
375,2,40,5,7,22
376,0,73,5,0,0
376,1,11,5,4,2
376,2,39,5,9,21
377,0,70,5,0,0
377,1,11,5,4,2
377,2,39,5,9,21
378,0,70,5,0,0
378,1,11,5,4,2
378,2,39,5,9,21
379,0,69,5,0,0
379,1,11,5,3,3
379,2,40,5,8,22
380,0,69,5,0,0
380,1,11,5,3,3
380,2,41,5,7,23
381,0,69,5,0,0
381,1,11,5,4,2
381,2,41,5,7,23
382,0,69,5,0,0
382,1,11,5,4,2
382,2,41,5,8,22
383,0,69,5,0,0
383,1,12,5,3,3
383,2,41,5,9,21
384,0,69,5,0,0
384,1,12,5,3,3
384,2,41,5,9,21
385,0,69,4,0,0
385,1,12,4,4,3
385,2,41,5,10,21
386,0,69,4,0,0
386,1,12,4,5,2
386,2,41,5,10,21
387,0,69,4,0,0
